Year,Geography,Subpopulation topic,Demographic Category,Race/Ethnicity,Enrolled Individuals,Total Eligible Population,Enrollment Rate (%),Release Version
2020,National,Age group,Adult,"American Indian and Alaska Native, non-Hispanic",653439,47168817,1.39%,TAF Release 1
2020,National,Age group,Adult,"Asian/Pacific Islander, non-Hispanic",3258628,47168817,6.91%,TAF Release 1
2020,National,Age group,Adult,"Black, non-Hispanic",9592152,47168817,20.34%,TAF Release 1
2020,National,Age group,Adult,Hispanic,10955420,47168817,23.23%,TAF Release 1
2020,National,Age group,Adult,"Multiracial, non-Hispanic",485996,47168817,1.03%,TAF Release 1
2020,National,Age group,Adult,"White, non-Hispanic",22223182,47168817,47.11%,TAF Release 1
2020,National,Age group,Child,"American Indian and Alaska Native, non-Hispanic",543881,40398252,1.35%,TAF Release 1
2020,National,Age group,Child,"Asian/Pacific Islander, non-Hispanic",1710602,40398252,4.23%,TAF Release 1
2020,National,Age group,Child,"Black, non-Hispanic",8926193,40398252,22.10%,TAF Release 1
2020,National,Age group,Child,Hispanic,12828651,40398252,31.76%,TAF Release 1
2020,National,Age group,Child,"Multiracial, non-Hispanic",761697,40398252,1.89%,TAF Release 1
2020,National,Age group,Child,"White, non-Hispanic",15627227,40398252,38.68%,TAF Release 1
2020,National,Comprehensive or limited benefits,Comprehensive benefits,"American Indian and Alaska Native, non-Hispanic",1197938,87674197,1.37%,TAF Release 1
2020,National,Comprehensive or limited benefits,Comprehensive benefits,"Asian/Pacific Islander, non-Hispanic",4976451,87674197,5.68%,TAF Release 1
2020,National,Comprehensive or limited benefits,Comprehensive benefits,"Black, non-Hispanic",18545830,87674197,21.15%,TAF Release 1
2020,National,Comprehensive or limited benefits,Comprehensive benefits,Hispanic,23810469,87674197,27.16%,TAF Release 1
2020,National,Comprehensive or limited benefits,Comprehensive benefits,"Multiracial, non-Hispanic",1250253,87674197,1.43%,TAF Release 1
2020,National,Comprehensive or limited benefits,Comprehensive benefits,"White, non-Hispanic",37893257,87674197,43.22%,TAF Release 1
2020,National,Comprehensive or limited benefits,Limited benefits,"American Indian and Alaska Native, non-Hispanic",60297,8514817,0.71%,TAF Release 1
2020,National,Comprehensive or limited benefits,Limited benefits,"Asian/Pacific Islander, non-Hispanic",311044,8514817,3.65%,TAF Release 1
2020,National,Comprehensive or limited benefits,Limited benefits,"Black, non-Hispanic",1630505,8514817,19.15%,TAF Release 1
2020,National,Comprehensive or limited benefits,Limited benefits,Hispanic,3182357,8514817,37.37%,TAF Release 1
2020,National,Comprehensive or limited benefits,Limited benefits,"Multiracial, non-Hispanic",69802,8514817,0.82%,TAF Release 1
2020,National,Comprehensive or limited benefits,Limited benefits,"White, non-Hispanic",3260812,8514817,38.30%,TAF Release 1
2020,National,Eligibility category,CHIP,"American Indian and Alaska Native, non-Hispanic",70034,1197938,5.85%,TAF Release 1
2020,National,Eligibility category,CHIP,"Asian/Pacific Islander, non-Hispanic",507476,4976451,10.20%,TAF Release 1
2020,National,Eligibility category,CHIP,"Black, non-Hispanic",1218618,18545830,6.57%,TAF Release 1
2020,National,Eligibility category,CHIP,Hispanic,2808204,23810469,11.79%,TAF Release 1
2020,National,Eligibility category,CHIP,"Multiracial, non-Hispanic",132890,1250253,10.63%,TAF Release 1
2020,National,Eligibility category,CHIP,"White, non-Hispanic",3137678,37893257,8.28%,TAF Release 1
2020,National,Eligibility category,Disability,"American Indian and Alaska Native, non-Hispanic",94516,1197938,7.89%,TAF Release 1
2020,National,Eligibility category,Disability,"Asian/Pacific Islander, non-Hispanic",197714,4976451,3.97%,TAF Release 1
2020,National,Eligibility category,Disability,"Black, non-Hispanic",2391174,18545830,12.89%,TAF Release 1
2020,National,Eligibility category,Disability,Hispanic,1364998,23810469,5.73%,TAF Release 1
2020,National,Eligibility category,Disability,"Multiracial, non-Hispanic",98440,1250253,7.87%,TAF Release 1
2020,National,Eligibility category,Disability,"White, non-Hispanic",4525032,37893257,11.94%,TAF Release 1
2020,National,Eligibility category,Expansion adult,"American Indian and Alaska Native, non-Hispanic",305639,1197938,25.51%,TAF Release 1
2020,National,Eligibility category,Expansion adult,"Asian/Pacific Islander, non-Hispanic",1575583,4976451,31.66%,TAF Release 1
2020,National,Eligibility category,Expansion adult,"Black, non-Hispanic",3619423,18545830,19.52%,TAF Release 1
2020,National,Eligibility category,Expansion adult,Hispanic,4786403,23810469,20.10%,TAF Release 1
2020,National,Eligibility category,Expansion adult,"Multiracial, non-Hispanic",190821,1250253,15.26%,TAF Release 1
2020,National,Eligibility category,Expansion adult,"White, non-Hispanic",9724849,37893257,25.66%,TAF Release 1
2020,National,Eligibility category,Medicaid children,"American Indian and Alaska Native, non-Hispanic",477339,1197938,39.85%,TAF Release 1
2020,National,Eligibility category,Medicaid children,"Asian/Pacific Islander, non-Hispanic",1233459,4976451,24.79%,TAF Release 1
2020,National,Eligibility category,Medicaid children,"Black, non-Hispanic",7398580,18545830,39.89%,TAF Release 1
